English	Term1	Term2	Term1_Audio	Term2_Audio	tags
foreign language	die Fremdsprache, die Fremdsprachen 		[sound:BAKU_A1_Fremdsprache_dwdownload.mp3]		andere-länder
international	international		[sound:BAKU_A1_international_dwdownload.mp3]		andere-länder
Italian (language)	(das) Italienisch <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_A1_Italienisch_dwdownload.mp3]		andere-länder
Japanese (language)	(das) Japanisch <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_A2_japanisch_dwdownload.mp3]		andere-länder
native language; mother tongue	die Muttersprache, die Muttersprachen		[sound:BAKU_B1_Muttersprache_dwdownload.mp3]		andere-länder
north; northwards; to the north of	nördlich <br><small><i>nördlicher, am nördlichsten</i></small>		[sound:BAKU_A1_noerdlich_dwdownload.mp3]		andere-länder
Norwegian (language)	(das) Norwegisch  <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_B1_Norwegisch_dwdownload.mp3]		andere-länder
east; eastwards; to the east of	östlich <br><small><i>östlicher, am östlichsten</i></small>		[sound:BAKU_A1_oestlich_dwdownload.mp3]		andere-länder
Russian (language)	(das) Russisch <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_A1_Russisch_dwdownload.mp3]		andere-länder
"Russia<br><img src=""39643504_507.jpg"" width=""50%"" height=""50%"">"	(das) Russland <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_A1_Russland_dwdownload.mp3]		andere-länder
badly; bad	schlecht <br><small><i>schlechter, am schlechtesten</i></small>		[sound:BAKU_A1_schlecht_dwdownload.mp3]		andere-länder
fast	schnell <br><small><i>schneller, am schnellsten</i></small>		[sound:BAKU_A2_schnell_dwdownload.mp3]		andere-länder
Swedish	(das) Schwedisch <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_A2_schwedisch_dwdownload.mp3]		andere-länder
very	sehr		[sound:BAKU_A1_sehr_dwdownload.mp3]		andere-länder
Spanish (language)	(das) Spanisch <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_A2_spanisch_dwdownload.mp3]		andere-länder
Which languages do you speak? (informal)	Welche Sprachen sprichst du?		[sound:BAKU_A1_welche_sprachen_sprichst_du_dwdownload.mp3]		andere-länder
south; southwards; to the south of	südlich <br><small><i>südlicher, am südlichsten</i></small>		[sound:BAKU_A1_suedlich_dwdownload.mp3]		andere-länder
Thai (language)	(das) Thai <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_A1_Thai_dwdownload.mp3]		andere-länder
Thailand	(das) Thailand <br><small><i>nur Singular, selten mit Artikel</i></small>		[sound:BAKU_A1_thailand_dwdownload.mp3]		andere-länder
west; westwards; to the west of	westlich <br><small><i>westlicher, am westlichsten</i></small>		[sound:BAKU_A1_westlich_dwdownload.mp3]		andere-länder
"pencil<br><img src=""39679943_507.jpg"" width=""50%"" height=""50%"">"	der Bleistift, die Bleistifte		[sound:BAKU_A1_Bleistift_dwdownload.mp3]		was-ist-das
"eyeglasses<br><img src=""39679955_507.jpg"" width=""50%"" height=""50%"">"	die Brille, die Brillen		[sound:BAKU_A1_Brille_dwdownload.mp3]		was-ist-das
"book<br><img src=""39680328_507.jpg"" width=""50%"" height=""50%"">"	das Buch, die Bücher		[sound:BAKU_A1_Buch_dwdownload.mp3]		was-ist-das
German course	der Deutschkurs, die Deutschkurse		[sound:BAKU_A1_Deutschkurs_dwdownload.mp3]		was-ist-das
the (plural)	die		[sound:BAKU_A1_die_dwdownload.mp3]		was-ist-das
"teacher (male)<br><img src=""39680316_507.jpg"" width=""50%"" height=""50%"">"	der Lehrer, die Lehrer		[sound:BAKU_A1_Lehrer_dwdownload.mp3]		was-ist-das
"teacher (female)<br><img src=""39680280_507.jpg"" width=""50%"" height=""50%"">"	die Lehrerin, die Lehrerinnen		[sound:BAKU_A1_Lehrerin_dwdownload.mp3]		was-ist-das
"notebook<br><img src=""39680292_507.jpg"" width=""50%"" height=""50%"">"	der Notizblock, die Notizblöcke		[sound:BAKU_A1_Notizblock_dwdownload.mp3]		was-ist-das
"paper<br><img src=""39680268_507.jpg"" width=""50%"" height=""50%"">"	das Papier <br><small><i>hier nur Singular</i></small>		[sound:A1_E5_L1_S11_A3_Loesungsaudio_dwdownload.mp3]		was-ist-das
"eraser<br><img src=""39679856_507.jpg"" width=""50%"" height=""50%"">"	der Radiergummi, die Radiergummis  <br><small><i>alternativ: das Radiergummi, die Radiergummis</i></small>		[sound:BAKU_A1_Radiergummi_dwdownload.mp3]		was-ist-das
"key<br><img src=""39459898_507.jpg"" width=""50%"" height=""50%"">"	der Schlüssel, die Schlüssel		[sound:BAKU_A1_Schluessel_dwdownload.mp3]		was-ist-das
language school	die Sprachschule, die Sprachschulen		[sound:BAKU_A1_Sprachschule_dwdownload.mp3]		was-ist-das
"pen<br><img src=""39679827_507.jpg"" width=""50%"" height=""50%"">"	der Stift, die Stifte		[sound:BAKU_A2_Stift_dwdownload.mp3]		was-ist-das
to teach; to instruct	(etwas) unterrichten <br><small><i>unterrichtet, unterrichtete, hat unterrichtet</i></small>		[sound:BAKU_A1_unterrichten_dwdownload.mp3]		was-ist-das
What does that mean in German?	Wie heißt das auf Deutsch?		[sound:BAKU_A1_wie_heisst_das_auf_deutsch_dwdownload.mp3]		was-ist-das
order	die Bestellung, die Bestellungen 		[sound:BAKU_A2_Bestellung_dwdownload.mp3]		wem-gehört-das
German class	der Deutschunterricht, die Deutschunterrichte		[sound:BAKU_A2_Deutschunterricht_dwdownload.mp3]		wem-gehört-das
a/an (indefinite article)	eine<br><br>	ein	[sound:BAKU_A1_eine_dwdownload.mp3]	[sound:BAKU_A1_ein_dwdownload.mp3]	wem-gehört-das
wrong	falsch		[sound:BAKU_A1_falsch_dwdownload.mp3]		wem-gehört-das
homework	die Hausaufgabe, die Hausaufgaben <br><small><i>meist im Plural</i></small>		[sound:BAKU_A1_Hausaufgabe_dwdownload.mp3]		wem-gehört-das
year	das Jahr, die Jahre 		[sound:BAKU_A1_Jahr_dwdownload.mp3]		wem-gehört-das
course participant (male)	der Kursteilnehmer, die Kursteilnehmer		[sound:BAKU_A1_Kursteilnehmer_dwdownload.mp3]		wem-gehört-das
course participant (female)	die Kursteilnehmerin, die Kursteilnehmerinnen		[sound:BAKU_A1_Kursteilnehmerin_dwdownload.mp3]		wem-gehört-das
to read (something)	(etwas) lesen <br><small><i>liest, las, hat gelesen</i></small>		[sound:BAKU_A1_lesen_dwdownload.mp3]		wem-gehört-das
afternoon	der Nachmittag, die Nachmittage		[sound:BAKU_A1_Nachmittag_dwdownload.mp3]		wem-gehört-das
message	die Nachricht, die Nachrichten		[sound:BAKU_A2_Nachricht_dwdownload.mp3]		wem-gehört-das
"binder; folder<br><img src=""39680304_507.jpg"" width=""50%"" height=""50%"">"	der Ordner, die Ordner		[sound:BAKU_A1_Ordner_dwdownload.mp3]		wem-gehört-das
break	die Pause, die Pausen		[sound:BAKU_A1_Pause_dwdownload.mp3]		wem-gehört-das
sentence	der Satz, die Sätze		[sound:BAKU_A1_Satz_dwdownload.mp3]		wem-gehört-das
"board; chalkboard<br><img src=""39679868_507.jpg"" width=""50%"" height=""50%"">"	die Tafel, die Tafeln		[sound:BAKU_A1_Tafel_iSv_Schultafel_dwdownload.mp3]		wem-gehört-das
text	der Text, die Texte		[sound:BAKU_A1_Text_dwdownload.mp3]		wem-gehört-das
to practice (something)	(etwas) üben <br><small><i>übt, übte, hat geübt</i></small>		[sound:BAKU_A1_ueben_dwdownload.mp3]		wem-gehört-das
of	von		[sound:BAKU_A1_von_dwdownload.mp3]		wem-gehört-das
to repeat/revise/review something	etwas wiederholen <br><small><i>wiederholt, wiederholte, hat wiederholt</i></small>		[sound:BAKU_A1_wiederholen_dwdownload.mp3]		wem-gehört-das
word	das Wort, die Wörter 		[sound:BAKU_A1_Wort_dwdownload.mp3]		wem-gehört-das
"dictionary<br><img src=""39693448_507.jpg"" width=""50%"" height=""50%"">"	das Wörterbuch, die Wörterbücher		[sound:BAKU_A1_Woerterbuch_dwdownload.mp3]		wem-gehört-das
for example; for instance	zum Beispiel <br><small><i>Abkürzung: z. B.</i></small>		[sound:BAKU_A2_zum_Beispiel_iSv_zum_Beispiel_dwdownload.mp3]		wem-gehört-das
All right!/Got it!	Alles klar!		[sound:BAKU_A1_alles_klar_dwdownload.mp3]		ich-habe-kein
ad; advertisement	die Anzeige, die Anzeigen		[sound:BAKU_A2_Anzeige_dwdownload.mp3]		ich-habe-kein
"elevator; lift<br><img src=""39679931_507.jpg"" width=""50%"" height=""50%"">"	der Aufzug, die Aufzüge		[sound:BAKU_A1_Aufzug_dwdownload.mp3]		ich-habe-kein
"glasses case<br><img src=""39680345_507.jpg"" width=""50%"" height=""50%"">"	das Brillenetui, die Brillenetuis		[sound:BAKU_A1_Brillenetui_dwdownload.mp3]		ich-habe-kein
One moment, please. 	Einen Moment, bitte.		[sound:BAKU_Einen_Moment_bitte_dwdownload.mp3]		ich-habe-kein
"garage<br><img src=""39680369_507.jpg"" width=""50%"" height=""50%"">"	die Garage, die Garagen		[sound:BAKU_A1_Garage_dwdownload.mp3]		ich-habe-kein
"house<br><img src=""39693420_507.jpg"" width=""50%"" height=""50%"">"	das Haus, die Häuser 		[sound:BAKU_A1_Haus_dwdownload.mp3]		ich-habe-kein
today	heute		[sound:BAKU_A1_heute_dwdownload.mp3]		ich-habe-kein
"internet<br><img src=""43808053_507.jpg"" width=""50%"" height=""50%"">"	das Internet  <br><small><i>nur Singular</i></small>		[sound:BAKU_A2_Internet_dwdownload.mp3]		ich-habe-kein
no; not a; no one	kein		[sound:BAKU_A1_kein_dwdownload.mp3]		ich-habe-kein
no; not; neither	keine		[sound:BAKU_keine_dwdownload.mp3]		ich-habe-kein
tenant; renter (male)	der Mieter, die Mieter 		[sound:BAKU_B1_Mieter_dwdownload.mp3]		ich-habe-kein
tenant; renter (female)	die Mieterin, die Mieterinnen		[sound:BAKU_die_Mieterin_dwdownload.mp3]		ich-habe-kein
"terrace; patio<br><img src=""39679880_507.jpg"" width=""50%"" height=""50%"">"	die Terrasse, die Terrassen		[sound:BAKU_A1_Terrasse_dwdownload.mp3]		ich-habe-kein
"shared apartment; flatshare<br><img src=""39646182_507.jpg"" width=""50%"" height=""50%"">"	die WG, die WGs <br><small><i>Abkürzung für: Wohngemeinschaft</i></small>		[sound:BAKU_A1_WG_dwdownload.mp3]		ich-habe-kein
shared apartment; flatshare	die Wohngemeinschaft, die Wohngemeinschaften <br><small><i>Abkürzung: die WG, die WGs</i></small>		[sound:BAKU_A1_Wohngemeinschaft_dwdownload.mp3]		ich-habe-kein
"apartment<br><img src=""39936240_507.jpg"" width=""50%"" height=""50%"">"	die Wohnung, die Wohnungen <br><small><i>Abkürzung: Whg.</i></small>		[sound:BAKU_A1_Wohnung_dwdownload.mp3]		ich-habe-kein
"piece of paper<br><img src=""39679892_507.jpg"" width=""50%"" height=""50%"">"	der Zettel, die Zettel		[sound:BAKU_A1_Zettel_dwdownload.mp3]		ich-habe-kein
"room<br><img src=""39679919_507.jpg"" width=""50%"" height=""50%"">"	das Zimmer, die Zimmer <br><small><i>Abkürzung: Zi.</i></small>		[sound:BAKU_A1_Zimmer_dwdownload.mp3]		ich-habe-kein
other; others	anderer, andere, anderes		[sound:BAKU_anderer_dwdownload.mp3]		das-auto-ist-rot
cheap; inexpensive	billig <br><small><i>billiger, am billigsten</i></small>		[sound:BAKU_A1_billig_dwdownload.mp3]		das-auto-ist-rot
to be there; to be present	da sein <br><small><i>ist, war, ist gewesen</i></small>		[sound:BAKU_A1_da_sein_dwdownload.mp3]		das-auto-ist-rot
"bicycle<br><img src=""39556527_507.jpg"" width=""50%"" height=""50%"">"	das Fahrrad, die Fahrräder  <br><small><i>Kurzform: das Rad, die Räder</i></small>		[sound:BAKU_A1_Fahrrad_dwdownload.mp3]		das-auto-ist-rot
"yellow<br><img src=""40027712_507.jpg"" width=""50%"" height=""50%"">"	gelb		[sound:BAKU_A1_gelb_dwdownload.mp3]		das-auto-ist-rot
big; tall	groß <br><small><i>größer, am größten</i></small>		[sound:BAKU_A1_gross_dwdownload.mp3]		das-auto-ist-rot
small	klein <br><small><i>kleiner, am kleinsten</i></small>		[sound:BAKU_A1_klein_dwdownload.mp3]		das-auto-ist-rot
new	neu <br><small><i>neuer, am neusten/am neuesten</i></small>		[sound:BAKU_A1_neu_dwdownload.mp3]		das-auto-ist-rot
"red<br><img src=""40027476_507.jpg"" width=""50%"" height=""50%"">"	rot		[sound:BAKU_A1_rot_dwdownload.mp3]		das-auto-ist-rot
expensive	teuer <br><small><i>treuer, am treusten/am treuesten</i></small><br><br>	hoch <br><small><i>höher, am höchsten</i></small>	[sound:BAKU_A1_teuer_dwdownload.mp3]	[sound:BAKU_A2_hoch_dwdownload.mp3]	das-auto-ist-rot
"t-shirt<br><img src=""39679907_507.jpg"" width=""50%"" height=""50%"">"	das T-Shirt, die T-Shirts		[sound:BAKU_A1_T-Shirt_dwdownload.mp3]		das-auto-ist-rot
"white<br><img src=""40027060_507.jpg"" width=""50%"" height=""50%"">"	weiß		[sound:BAKU_A1_weiss_dwdownload.mp3]		das-auto-ist-rot
in the country	auf dem Land		[sound:BAKU_A1_auf_dem_Land_dwdownload.mp3]		so-wohne-ich
"balcony; porch<br><img src=""39936252_507.jpg"" width=""50%"" height=""50%"">"	der Balkon, die Balkons <br><small><i>alternativer Plural: die Balkone, Abkürzung: BLK</i></small>		[sound:BAKU_A1_Balkon_dwdownload.mp3]		so-wohne-ich
acquaintance (male)	der Bekannte, die Bekannten <br><small><i>mit unbestimmtem Artikel: ein Bekannter, Bekannte</i></small>		[sound:BAKU_A1_Bekannte_der_dwdownload.mp3]		so-wohne-ich
acquaintance (female)	die Bekannte, die Bekannten <br><small><i>mit unbestimmtem Artikel: eine Bekannte, Bekannte</i></small>		[sound:BAKU_A1_Bekannte_die_dwdownload.mp3]		so-wohne-ich
better	besser		[sound:BAKU_A1_besser_dwdownload.mp3]		so-wohne-ich
free; open; here: unoccupied	frei		[sound:BAKU_A1_frei_dwdownload.mp3]		so-wohne-ich
garden	der Garten, die Gärten		[sound:BAKU_A1_Garten_dwdownload.mp3]		so-wohne-ich
"heating; heater<br><img src=""39775614_507.jpg"" width=""50%"" height=""50%"">"	die Heizung, die Heizungen		[sound:BAKU_A1_Heizung_dwdownload.mp3]		so-wohne-ich
"high-rise building<br><img src=""39775606_507.jpg"" width=""50%"" height=""50%"">"	das Hochhaus, die Hochhäuser 		[sound:BAKU_A1_Hochhaus_dwdownload.mp3]		so-wohne-ich
to hope something	etwas hoffen <br><small><i>hofft, hoffte, hat gehofft</i></small>		[sound:BAKU_A1_hoffen_dwdownload.mp3]		so-wohne-ich
hostel	das Hostel, die Hostels		[sound:BAKU_A1_Hostel_dwdownload.mp3]		so-wohne-ich
youth hostel	die Jugendherberge, die Jugendherbergen 		[sound:BAKU_A2_Jugendherberge_dwdownload.mp3]		so-wohne-ich
"child<br><img src=""39775575_507.jpg"" width=""50%"" height=""50%"">"	das Kind, die Kinder		[sound:BAKU_A1_Kind_dwdownload.mp3]		so-wohne-ich
to be able to; can	können <br><small><i>kann, konnte</i></small>		[sound:BAKU_A1_koennen_dwdownload.mp3]		so-wohne-ich
to live; to be alive	leben <br><small><i>lebt, lebte, hat gelebt</i></small>		[sound:BAKU_A1_leben_dwdownload.mp3]		so-wohne-ich
most of the time; usually	meist <br><small><i>Kurzform von: meistens</i></small>		[sound:BAKU_A2_meist_dwdownload.mp3]		so-wohne-ich
rent	die Miete, die Mieten		[sound:BAKU_A2_Miete_dwdownload.mp3]		so-wohne-ich
roommate; housemate; flatmate (male)	der Mitbewohner, die Mitbewohner		[sound:BAKU_A2_Mitbewohner_dwdownload.mp3]		so-wohne-ich
roommate; housemate; flatmate (female)	die Mitbewohnerin, die Mitbewohnerinnen		[sound:BAKU_A2_Mitbewohnerin_dwdownload.mp3]		so-wohne-ich
"nature<br><img src=""39775537_507.jpg"" width=""50%"" height=""50%"">"	die Natur <br><small><i>hier nur Singular</i></small>		[sound:BAKU_A1_Natur_dwdownload.mp3]		so-wohne-ich
nice; friendly	nett <br><small><i>netter, am nettesten</i></small>		[sound:BAKU_A1_nett_dwdownload.mp3]		so-wohne-ich
often	oft <br><small><i>öfter, am öftesten</i></small>		[sound:BAKU_A1_oft_dwdownload.mp3]		so-wohne-ich
to share	sich etwas teilen <br><small><i>teilt, teilte, hat geteilt</i></small>		[sound:BAKU_A2_teilen_dwdownload.mp3]		so-wohne-ich
to move (house, cities, etc.)	um|ziehen <br><small><i>zieht um, zog um, ist umgezogen</i></small>		[sound:BAKU_A2_umziehen_dwdownload.mp3]		so-wohne-ich
"move; relocation<br><img src=""40101794_507.jpg"" width=""50%"" height=""50%"">"	der Umzug, die Umzüge 		[sound:BAKU_A1_Umzug_dwdownload.mp3]		so-wohne-ich
vacation; holiday	der Urlaub, die Urlaube		[sound:BAKU_A1_Urlaub_dwdownload.mp3]		so-wohne-ich
to understand something/someone	etwas/jemanden verstehen <br><small><i>versteht, verstand, hat verstanden</i></small>		[sound:BAKU_A1_verstehen_dwdownload.mp3]		so-wohne-ich
many	viele		[sound:BAKU_B1_viele_dwdownload.mp3]		so-wohne-ich
perhaps; maybe	vielleicht		[sound:BAKU_A2_vielleicht_dwdownload.mp3]		so-wohne-ich
"office; study<br><img src=""39936232_507.jpg"" width=""50%"" height=""50%"">"	das Arbeitszimmer, die Arbeitszimmer		[sound:BAKU_A1_Arbeitszimmer_dwdownload.mp3]		meine-wohnung
"bathroom<br><img src=""39936246_507.jpg"" width=""50%"" height=""50%"">"	das Badezimmer, die Badezimmer<br><br>	das Bad, die Bäder	[sound:BAKU_A1_Badezimmer_dwdownload.mp3]	[sound:BAKU_A1_Bad_dwdownload.mp3]	meine-wohnung
dark	dunkel <br><small><i>dunkler, am dunkelsten</i></small>		[sound:BAKU_A1_dunkel_dwdownload.mp3]		meine-wohnung
there are (literally: it gives, it exists)	Es gibt …		[sound:BAKU_A1_es_gibt_dwdownload.mp3]		meine-wohnung
"window<br><img src=""39936336_507.jpg"" width=""50%"" height=""50%"">"	das Fenster, die Fenster		[sound:BAKU_A1_Fenster_dwdownload.mp3]		meine-wohnung
"hallway<br><img src=""39775636_507.jpg"" width=""50%"" height=""50%"">"	der Flur, die Flure		[sound:BAKU_A1_Flur_dwdownload.mp3]		meine-wohnung
Pleased to meet you. 	Freut mich.		[sound:BAKU_A1_freut_mich_dwdownload.mp3]		meine-wohnung
cozy; comfortable	gemütlich <br><small><i>gemütlicher, am gemütlichsten</i></small>		[sound:BAKU_A1_gemuetlich_dwdownload.mp3]		meine-wohnung
light; bright	hell <br><small><i>heller, am hellsten</i></small>		[sound:BAKU_A1_hell_dwdownload.mp3]		meine-wohnung
"interested person; interested party; prospects (here: implies ""potential"" or ""prospective"") (male)"	der Interessent, die Interessenten 		[sound:BAKU_A2_Interessent_dwdownload.mp3]		meine-wohnung
"interested person; interested party; prospects (here: implies ""potential"" or ""prospective"") (female)"	die Interessentin, die Interessentinnen		[sound:BAKU_A2_Interessentin_dwdownload.mp3]		meine-wohnung
"cellar; basement<br><img src=""40284305_507.jpg"" width=""50%"" height=""50%"">"	der Keller, die Keller		[sound:BAKU_A1_Keller_dwdownload.mp3]		meine-wohnung
"kitchen<br><img src=""39775551_507.jpg"" width=""50%"" height=""50%"">"	die Küche, die Küchen		[sound:BAKU_A1_Kueche_dwdownload.mp3]		meine-wohnung
short	kurz <br><small><i>kürzer, am kürzesten</i></small>		[sound:BAKU_A1_kurz_dwdownload.mp3]		meine-wohnung
long	lang <br><small><i>länger, am längsten</i></small>		[sound:BAKU_A1_lang_dwdownload.mp3]		meine-wohnung
loud/loudly	laut <br><small><i>lauter, am lautesten</i></small>		[sound:BAKU_A1_laut_dwdownload.mp3]		meine-wohnung
month	der Monat, die Monate		[sound:BAKU_A1_Monat_dwdownload.mp3]		meine-wohnung
"French fries<br><img src=""39775528_507.jpg"" width=""50%"" height=""50%"">"	die Pommes frites (Plural) <br><small><i>aus dem Französischen, nur Plural</i></small>		[sound:BAKU_A1_Pommes_frites_dwdownload.mp3]		meine-wohnung
square meter	der Quadratmeter, die Quadratmeter <br><small><i>Abkürzung: qm oder m²</i></small>		[sound:BAKU_A1_Quadratmeter_dwdownload.mp3]		meine-wohnung
quiet; calm	ruhig <br><small><i>ruhiger, am ruhigsten</i></small>		[sound:BAKU_A1_ruhig_dwdownload.mp3]		meine-wohnung
"bedroom<br><img src=""39936352_507.jpg"" width=""50%"" height=""50%"">"	das Schlafzimmer, die Schlafzimmer		[sound:BAKU_A1_Schlafzimmer_dwdownload.mp3]		meine-wohnung
to see something/somebody	etwas/jemanden sehen <br><small><i>sieht, sah, hat gesehen</i></small>		[sound:BAKU_A1_sehen_dwdownload.mp3]		meine-wohnung
"to sit<br><img src=""40021095_507.jpg"" width=""50%"" height=""50%"">"	sitzen <br><small><i>sitzt, saß, hat gesessen</i></small>		[sound:BAKU_A1_sitzen_dwdownload.mp3]		meine-wohnung
uncomfortable; unpleasant; awkward	ungemütlich <br><small><i>ungemütlicher, am ungemütlichsten</i></small>		[sound:BAKU_A1_ungemuetlich_dwdownload.mp3]		meine-wohnung
"living room<br><img src=""39936284_507.jpg"" width=""50%"" height=""50%"">"	das Wohnzimmer, die Wohnzimmer		[sound:BAKU_A1_Wohnzimmer_dwdownload.mp3]		meine-wohnung
to work	arbeiten <br><small><i>arbeitet, arbeitete, hat gearbeitet</i></small>		[sound:BAKU_A1_arbeiten_dwdownload.mp3]		sofa-sessel-und-tisch
comfortable	bequem <br><small><i>bequemer, am bequemsten</i></small>		[sound:BAKU_A2_bequem_dwdownload.mp3]		sofa-sessel-und-tisch
"bed<br><img src=""39936297_507.jpg"" width=""50%"" height=""50%"">"	das Bett, die Betten		[sound:BAKU_A1_Bett_dwdownload.mp3]		sofa-sessel-und-tisch
"picture<br><img src=""39936268_507.jpg"" width=""50%"" height=""50%"">"	das Bild, die Bilder		[sound:BAKU_A1_Bild_dwdownload.mp3]		sofa-sessel-und-tisch
"bookcase; bookshelf<br><img src=""39936276_507.jpg"" width=""50%"" height=""50%"">"	das Bücherregal, die Bücherregale		[sound:BAKU_A1_Buecherregal_dwdownload.mp3]		sofa-sessel-und-tisch
"office chair<br><img src=""39936156_507.jpg"" width=""50%"" height=""50%"">"	der Bürostuhl, die Bürostühle		[sound:BAKU_A1_Buerostuhl_dwdownload.mp3]		sofa-sessel-und-tisch
"couch<br><img src=""39936140_507.jpg"" width=""50%"" height=""50%"">"	die Couch, die Couches <br><small><i>alternativer Plural: die Couchen</i></small>		[sound:BAKU_B1_Couch_dwdownload.mp3]		sofa-sessel-und-tisch
"television<br><img src=""39936132_507.jpg"" width=""50%"" height=""50%"">"	der Fernseher, die Fernseher		[sound:BAKU_A1_Fernseher_dwdownload.mp3]		sofa-sessel-und-tisch
to find	finden <br><small><i>findet, fand, hat gefunden</i></small>		[sound:BAKU_A1_finden_dwdownload.mp3]		sofa-sessel-und-tisch
"curtain; drapes<br><img src=""39775624_507.jpg"" width=""50%"" height=""50%"">"	die Gardine, die Gardinen		[sound:BAKU_A2_Gardine_dwdownload.mp3]		sofa-sessel-und-tisch
"stove<br><img src=""39775598_507.jpg"" width=""50%"" height=""50%"">"	der Herd, die Herde		[sound:BAKU_A1_Herd_dwdownload.mp3]		sofa-sessel-und-tisch
cushion; pillow	das Kissen, die Kissen		[sound:BAKU_B1_Kissen_dwdownload.mp3]		sofa-sessel-und-tisch
"closet; wardrobe<br><img src=""39775567_507.jpg"" width=""50%"" height=""50%"">"	der Kleiderschrank, die Kleiderschränke 		[sound:BAKU_A1_Kleiderschrank_dwdownload.mp3]		sofa-sessel-und-tisch
"furniture<br><img src=""40098715_507.jpg"" width=""50%"" height=""50%"">"	das Möbel, die Möbel <br><small><i>meist im Plural</i></small>		[sound:BAKU_A1_Moebel_dwdownload.mp3]		sofa-sessel-und-tisch
bedside table; nightstand	der Nachttisch, die Nachttische		[sound:BAKU_A1_Nachttisch_dwdownload.mp3]		sofa-sessel-und-tisch
"(book) shelf;&nbsp;storage rack<br><img src=""39775520_507.jpg"" width=""50%"" height=""50%"">"	das Regal, die Regale		[sound:BAKU_A1_Regal_dwdownload.mp3]		sofa-sessel-und-tisch
"cabinet; wardrobe<br><img src=""39775567_507.jpg"" width=""50%"" height=""50%"">"	der Schrank, die Schränke		[sound:BAKU_A1_Schrank_dwdownload.mp3]		sofa-sessel-und-tisch
"desk<br><img src=""39775512_507.jpg"" width=""50%"" height=""50%"">"	der Schreibtisch, die Schreibtische		[sound:BAKU_A1_Schreibtisch_dwdownload.mp3]		sofa-sessel-und-tisch
"desk chair<br><img src=""39936156_507.jpg"" width=""50%"" height=""50%"">"	der Schreibtischstuhl, die Schreibtischstühle		[sound:BAKU_A1_Schreibtischstuhl_dwdownload.mp3]		sofa-sessel-und-tisch
"armchair; easy chair<br><img src=""39936424_507.jpg"" width=""50%"" height=""50%"">"	der Sessel, die Sessel		[sound:BAKU_A1_Sessel_dwdownload.mp3]		sofa-sessel-und-tisch
"sofa; couch<br><img src=""39936140_507.jpg"" width=""50%"" height=""50%"">"	das Sofa, die Sofas		[sound:BAKU_A1_Sofa_dwdownload.mp3]		sofa-sessel-und-tisch
"mirror<br><img src=""40020314_507.jpg"" width=""50%"" height=""50%"">"	der Spiegel, die Spiegel		[sound:BAKU_A1_Spiegel_dwdownload.mp3]		sofa-sessel-und-tisch
bourgeois; square	spießig <br><small><i>spießiger, am spießigsten</i></small>		[sound:BAKU_A1_spiessig_dwdownload.mp3]		sofa-sessel-und-tisch
"kitchen sink<br><img src=""39936416_507.jpg"" width=""50%"" height=""50%"">"	die Spüle, die Spülen		[sound:BAKU_A1_Spuele_dwdownload.mp3]		sofa-sessel-und-tisch
to stand; to be	stehen <br><small><i>steht, stand, hat gestanden</i></small>		[sound:BAKU_A1_stehen_dwdownload.mp3]		sofa-sessel-und-tisch
"floor lamp<br><img src=""39936400_507.jpg"" width=""50%"" height=""50%"">"	die Stehlampe, die Stehlampen		[sound:BAKU_A1_Stehlampe_dwdownload.mp3]		sofa-sessel-und-tisch
"chair<br><img src=""39936392_507.jpg"" width=""50%"" height=""50%"">"	der Stuhl, die Stühle		[sound:BAKU_A1_Stuhl_dwdownload.mp3]		sofa-sessel-und-tisch
"carpet<br><img src=""39936376_507.jpg"" width=""50%"" height=""50%"">"	der Teppich, die Teppiche		[sound:BAKU_A1_Teppich_dwdownload.mp3]		sofa-sessel-und-tisch
"table<br><img src=""39936384_507.jpg"" width=""50%"" height=""50%"">"	der Tisch, die Tische		[sound:BAKU_A1_Tisch_dwdownload.mp3]		sofa-sessel-und-tisch
uncomfortable	unbequem <br><small><i>unbequemer, am unbequemsten</i></small>		[sound:BAKU_A1_unbequem_dwdownload.mp3]		sofa-sessel-und-tisch
"washer<br><img src=""39936260_507.jpg"" width=""50%"" height=""50%"">"	die Waschmaschine, die Waschmaschinen		[sound:BAKU_A1_Waschmaschine_dwdownload.mp3]		sofa-sessel-und-tisch
too	zu		[sound:BAKU_A1_zu_dwdownload.mp3]		sofa-sessel-und-tisch
all	alle		[sound:BAKU_A1_alle_dwdownload.mp3]		unser-haus
"wristwatch<br><img src=""39936290_507.jpg"" width=""50%"" height=""50%"">"	die Armbanduhr, die Armbanduhren 		[sound:BAKU_A1_Armbanduhr_dwdownload.mp3]		unser-haus
soon	bald		[sound:BAKU_A1_bald_dwdownload.mp3]		unser-haus
next to it/that	daneben		[sound:BAKU_A1_daneben_dwdownload.mp3]		unser-haus
your	dein(e)		[sound:BAKU_A1_dein_dwdownload.mp3]		unser-haus
